iter	Passed	Remaining
0	139	69516
1	162	40396
2	183	30433
3	205	25443
4	225	22333
5	244	20126
6	262	18460
7	276	16975
8	290	15859
9	305	14946
10	319	14205
11	334	13616
12	349	13089
13	365	12683
14	378	12242
15	393	11904
16	406	11548
17	418	11195
18	431	10915
19	444	10656
20	457	10442
21	471	10236
22	484	10046
23	498	9894
24	512	9730
25	524	9568
26	536	9403
27	550	9279
28	565	9185
29	579	9083
30	593	8975
31	607	8885
32	622	8802
33	636	8718
34	650	8640
35	663	8553
36	678	8485
37	694	8448
38	709	8391
39	724	8333
40	739	8278
41	753	8217
42	766	8144
43	781	8096
44	795	8041
45	809	7992
46	823	7932
47	835	7866
48	847	7801
49	861	7751
50	875	7710
51	889	7660
52	903	7618
53	917	7574
54	930	7530
55	942	7474
56	955	7424
57	967	7373
58	981	7334
59	995	7302
60	1009	7263
61	1023	7232
62	1037	7196
63	1051	7161
64	1064	7126
65	1078	7090
66	1091	7052
67	1104	7019
68	1117	6980
69	1131	6950
70	1144	6915
71	1157	6880
72	1170	6847
73	1185	6825
74	1198	6789
75	1212	6763
76	1225	6731
77	1238	6702
78	1250	6662
79	1264	6636
80	1277	6610
81	1293	6593
82	1307	6569
83	1321	6544
84	1334	6513
85	1349	6494
86	1365	6480
87	1380	6463
88	1396	6448
89	1410	6427
90	1426	6412
91	1441	6394
92	1457	6377
93	1472	6358
94	1486	6335
95	1499	6308
96	1513	6288
97	1525	6258
98	1536	6224
99	1549	6196
100	1562	6172
101	1573	6138
102	1586	6116
103	1599	6090
104	1612	6064
105	1623	6034
106	1638	6016
107	1651	5995
108	1662	5962
109	1672	5929
110	1683	5899
111	1698	5883
112	1710	5859
113	1722	5833
114	1736	5814
115	1748	5789
116	1763	5773
117	1776	5752
118	1789	5729
119	1802	5706
120	1814	5682
121	1825	5656
122	1836	5630
123	1850	5611
124	1861	5585
125	1873	5561
126	1884	5535
127	1896	5513
128	1909	5491
129	1921	5469
130	1933	5445
131	1947	5429
132	1959	5407
133	1972	5386
134	1983	5362
135	1995	5340
136	2009	5323
137	2021	5302
138	2032	5278
139	2044	5258
140	2058	5242
141	2070	5219
142	2081	5196
143	2093	5175
144	2108	5163
145	2120	5142
146	2131	5119
147	2144	5099
148	2156	5079
149	2169	5062
150	2183	5046
151	2198	5032
152	2209	5010
153	2219	4987
154	2232	4969
155	2248	4957
156	2260	4939
157	2272	4919
158	2283	4897
159	2294	4876
160	2307	4858
161	2318	4837
162	2331	4820
163	2343	4800
164	2354	4780
165	2365	4759
166	2377	4739
167	2389	4722
168	2403	4706
169	2415	4688
170	2426	4669
171	2438	4650
172	2450	4631
173	2462	4613
174	2475	4597
175	2487	4579
176	2499	4560
177	2511	4543
178	2523	4525
179	2534	4505
180	2544	4484
181	2555	4464
182	2566	4445
183	2578	4428
184	2588	4407
185	2599	4388
186	2610	4369
187	2621	4350
188	2631	4330
189	2642	4311
190	2654	4293
191	2664	4274
192	2675	4256
193	2686	4238
194	2698	4220
195	2709	4202
196	2720	4184
197	2731	4166
198	2742	4148
199	2753	4130
200	2764	4112
201	2779	4099
202	2789	4081
203	2801	4064
204	2811	4046
205	2822	4028
206	2834	4011
207	2844	3993
208	2855	3975
209	2866	3958
210	2877	3940
211	2888	3923
212	2898	3905
213	2909	3887
214	2919	3870
215	2930	3852
216	2941	3835
217	2952	3818
218	2962	3800
219	2972	3783
220	2983	3765
221	2994	3749
222	3005	3732
223	3016	3716
224	3027	3699
225	3038	3684
226	3049	3667
227	3061	3652
228	3072	3636
229	3084	3621
230	3096	3605
231	3107	3590
232	3120	3575
233	3131	3559
234	3143	3544
235	3154	3528
236	3168	3516
237	3181	3501
238	3195	3489
239	3207	3474
240	3219	3460
241	3234	3447
242	3246	3434
243	3259	3420
244	3272	3406
245	3287	3393
246	3300	3380
247	3312	3366
248	3324	3351
249	3336	3336
250	3348	3321
251	3359	3306
252	3371	3291
253	3383	3277
254	3395	3262
255	3407	3247
256	3418	3232
257	3429	3216
258	3441	3202
259	3452	3186
260	3462	3170
261	3474	3155
262	3484	3140
263	3497	3126
264	3511	3113
265	3524	3100
266	3536	3086
267	3551	3074
268	3564	3060
269	3576	3047
270	3588	3032
271	3599	3017
272	3610	3001
273	3621	2986
274	3631	2971
275	3642	2955
276	3654	2941
277	3664	2926
278	3674	2910
279	3685	2896
280	3696	2880
281	3707	2866
282	3718	2851
283	3729	2836
284	3740	2821
285	3751	2806
286	3761	2791
287	3772	2776
288	3784	2763
289	3795	2748
290	3821	2744
291	3835	2732
292	3850	2720
293	3863	2707
294	3875	2693
295	3886	2678
296	3897	2664
297	3908	2649
298	3919	2634
299	3932	2621
300	3944	2607
301	3955	2593
302	3966	2579
303	3978	2565
304	3988	2550
305	3999	2535
306	4011	2522
307	4023	2508
308	4033	2493
309	4044	2478
310	4055	2464
311	4066	2450
312	4076	2435
313	4087	2421
314	4098	2406
315	4108	2392
316	4118	2377
317	4130	2363
318	4141	2349
319	4151	2335
320	4162	2320
321	4172	2306
322	4184	2292
323	4195	2279
324	4206	2264
325	4217	2251
326	4227	2236
327	4237	2222
328	4248	2208
329	4258	2193
330	4268	2179
331	4278	2165
332	4289	2151
333	4300	2137
334	4310	2122
335	4320	2108
336	4330	2094
337	4341	2080
338	4352	2067
339	4362	2053
340	4373	2039
341	4386	2026
342	4397	2012
343	4408	1998
344	4420	1985
345	4431	1972
346	4442	1958
347	4456	1946
348	4469	1933
349	4480	1920
350	4491	1906
351	4502	1893
352	4513	1879
353	4524	1865
354	4535	1852
355	4545	1838
356	4557	1825
357	4568	1812
358	4579	1798
359	4590	1785
360	4600	1771
361	4611	1757
362	4622	1744
363	4632	1730
364	4643	1717
365	4654	1704
366	4666	1691
367	4680	1679
368	4693	1666
369	4705	1653
370	4717	1640
371	4728	1627
372	4738	1613
373	4749	1599
374	4760	1586
375	4771	1573
376	4781	1560
377	4792	1546
378	4803	1533
379	4814	1520
380	4825	1507
381	4835	1493
382	4845	1480
383	4856	1467
384	4866	1453
385	4876	1440
386	4887	1427
387	4897	1413
388	4907	1400
389	4917	1386
390	4927	1373
391	4937	1360
392	4947	1347
393	4957	1333
394	4966	1320
395	4976	1306
396	4986	1293
397	4995	1280
398	5004	1266
399	5014	1253
400	5024	1240
401	5033	1227
402	5043	1213
403	5053	1200
404	5063	1187
405	5073	1174
406	5083	1161
407	5093	1148
408	5103	1135
409	5114	1122
410	5124	1109
411	5134	1096
412	5146	1084
413	5156	1071
414	5166	1058
415	5177	1045
416	5189	1032
417	5200	1020
418	5211	1007
419	5223	994
420	5236	982
421	5249	970
422	5260	957
423	5272	945
424	5287	933
425	5298	920
426	5309	907
427	5320	894
428	5331	882
429	5341	869
430	5351	856
431	5363	844
432	5374	831
433	5384	818
434	5394	806
435	5404	793
436	5414	780
437	5424	767
438	5435	755
439	5445	742
440	5456	730
441	5467	717
442	5479	705
443	5489	692
444	5500	679
445	5512	667
446	5522	654
447	5534	642
448	5545	629
449	5556	617
450	5568	605
451	5579	592
452	5590	579
453	5600	567
454	5611	555
455	5622	542
456	5635	530
457	5649	518
458	5663	505
459	5674	493
460	5686	481
461	5698	468
462	5712	456
463	5722	444
464	5733	431
465	5745	419
466	5756	406
467	5766	394
468	5777	381
469	5788	369
470	5798	357
471	5809	344
472	5820	332
473	5830	319
474	5842	307
475	5854	295
476	5864	282
477	5875	270
478	5885	258
479	5897	245
480	5908	233
481	5918	221
482	5929	208
483	5940	196
484	5952	184
485	5962	171
486	5972	159
487	5981	147
488	5991	134
489	6001	122
490	6011	110
491	6021	97
492	6032	85
493	6042	73
494	6053	61
495	6063	48
496	6073	36
497	6083	24
498	6093	12
499	6104	0
