iter	Passed	Remaining
0	137	137169
1	159	79837
2	179	59619
3	198	49408
4	218	43437
5	236	39123
6	253	35891
7	266	33067
8	279	30808
9	292	28979
10	304	27404
11	316	26075
12	329	25017
13	342	24086
14	355	23312
15	366	22568
16	379	21958
17	391	21365
18	404	20892
19	416	20430
20	428	19998
21	440	19574
22	452	19238
23	464	18874
24	475	18552
25	487	18246
26	499	17993
27	510	17704
28	521	17452
29	534	17276
30	548	17137
31	561	16982
32	574	16848
33	589	16760
34	604	16659
35	617	16536
36	630	16408
37	641	16251
38	655	16142
39	668	16034
40	681	15940
41	695	15870
42	709	15790
43	722	15694
44	734	15593
45	748	15515
46	760	15416
47	772	15318
48	785	15239
49	797	15143
50	810	15083
51	822	15000
52	835	14920
53	847	14849
54	860	14776
55	872	14707
56	884	14633
57	897	14576
58	911	14529
59	923	14466
60	935	14401
61	950	14385
62	966	14370
63	981	14361
64	996	14337
65	1010	14303
66	1024	14269
67	1038	14235
68	1051	14189
69	1065	14154
70	1083	14173
71	1097	14151
72	1112	14131
73	1127	14113
74	1142	14092
75	1157	14071
76	1170	14034
77	1183	13994
78	1197	13956
79	1211	13931
80	1224	13894
81	1237	13855
82	1250	13813
83	1261	13761
84	1273	13704
85	1285	13664
86	1298	13627
87	1311	13594
88	1325	13563
89	1339	13543
90	1352	13510
91	1365	13473
92	1378	13445
93	1390	13402
94	1402	13356
95	1414	13317
96	1426	13283
97	1437	13234
98	1449	13191
99	1463	13172
100	1476	13140
101	1488	13102
102	1501	13076
103	1513	13042
104	1526	13013
105	1538	12979
106	1551	12950
107	1564	12923
108	1577	12896
109	1590	12864
110	1602	12837
111	1615	12805
112	1627	12775
113	1641	12758
114	1655	12741
115	1667	12708
116	1680	12679
117	1691	12645
118	1705	12626
119	1720	12613
120	1732	12583
121	1744	12552
122	1758	12539
123	1771	12517
124	1785	12497
125	1796	12461
126	1809	12437
127	1823	12424
128	1838	12416
129	1854	12409
130	1869	12400
131	1886	12405
132	1901	12397
133	1919	12402
134	1934	12396
135	1949	12387
136	1964	12372
137	1981	12374
138	1994	12354
139	2009	12343
140	2025	12339
141	2039	12321
142	2055	12318
143	2072	12318
144	2087	12310
145	2103	12304
146	2121	12311
147	2138	12312
148	2154	12304
149	2171	12304
150	2188	12302
151	2202	12286
152	2217	12273
153	2231	12256
154	2249	12263
155	2268	12272
156	2286	12275
157	2305	12286
158	2323	12291
159	2339	12281
160	2354	12270
161	2371	12268
162	2385	12250
163	2400	12234
164	2414	12220
165	2429	12207
166	2444	12192
167	2459	12177
168	2474	12166
169	2486	12141
170	2501	12127
171	2515	12107
172	2529	12093
173	2546	12086
174	2560	12072
175	2575	12057
176	2588	12037
177	2603	12023
178	2615	11997
179	2630	11981
180	2644	11964
181	2659	11954
182	2674	11939
183	2690	11931
184	2707	11926
185	2723	11918
186	2740	11916
187	2754	11897
188	2770	11887
189	2785	11873
190	2799	11857
191	2813	11840
192	2826	11816
193	2840	11799
194	2856	11793
195	2870	11776
196	2885	11760
197	2899	11742
198	2913	11727
199	2927	11708
200	2940	11686
201	2955	11674
202	2969	11656
203	2983	11642
204	2997	11625
205	3012	11612
206	3027	11599
207	3041	11581
208	3051	11550
209	3064	11529
210	3079	11516
211	3093	11499
212	3106	11478
213	3120	11462
214	3133	11439
215	3147	11424
216	3161	11407
217	3174	11386
218	3187	11365
219	3198	11339
220	3211	11318
221	3221	11291
222	3235	11272
223	3248	11254
224	3261	11235
225	3274	11215
226	3287	11193
227	3300	11176
228	3316	11165
229	3329	11148
230	3343	11129
231	3354	11104
232	3368	11087
233	3380	11067
234	3392	11044
235	3405	11025
236	3417	11003
237	3430	10981
238	3443	10963
239	3452	10934
240	3465	10913
241	3477	10891
242	3489	10870
243	3501	10847
244	3513	10828
245	3525	10806
246	3538	10786
247	3548	10759
248	3560	10738
249	3572	10716
250	3584	10696
251	3597	10678
252	3609	10656
253	3621	10636
254	3633	10616
255	3646	10597
256	3660	10583
257	3672	10562
258	3687	10550
259	3703	10541
260	3716	10523
261	3729	10505
262	3745	10495
263	3759	10482
264	3773	10464
265	3784	10442
266	3799	10430
267	3812	10413
268	3823	10390
269	3834	10367
270	3848	10351
271	3859	10330
272	3873	10314
273	3884	10291
274	3894	10268
